id,store_name
1,2nd Ave
2,65th Street
3,Algonquin Rd
4,Archer
5,Barberton
6,Bluefield
8,Copley
9,Cranston
10,Crest Hill
11,Cromer
12,Dover
13,Dudley Farms
14,DuPont
15,Durham
16,E Rancier
17,Edinburg
18,Edwin Miller
19,F st
20,Fairmont
21,Franklin Park
22,Fruitland
23,Gatesville
24,Georgetown
25,Gessner
26,Grand Ave
28,Hanson
29,Heber Springs
30,Homewood
31,Hwy 215
32,Hwy 82
33,Indianola
34,Jonesboro
35,Lamar Ave
36,Lanett
37,Lawndale
38,Lewisburg
39,Mattoon
40,Medina
41,Merritt Blvd
42,Mountain Home
43,N Prospect Ave
44,Natchitoches
45,National Hwy
46,New Albany
47,Newport
48,Nick Plaza
49,Oltorf
50,Perry
51,Phenix City
52,Pineville
53,Plaza Road
54,Point Blvd
55,Princeton
56,Riverwalk
57,Rosenberg
58,Round Lake
59,S Jackson Rd Ste 8
60,Salisbury
61,San Marcos
62,Schillinger
63,Silver Hill
64,Stan Schlueter
65,Sunshine Strip
66,Sussex Hwy
67,Texarkana
68,Urbana
69,Uvalde
70,Wadsworth
71,West Helena
72,Westgate Plaza
73,Westheimer Commons
74,Wheaton
